"","plantid","shootmass","leafnum","stolonnum","nodulenum","MassofNodules","NodulesinTube","meannodulemass","totalnodulemass","Chlor","Harvester","Harvestdate","Harvestday","strain","nitrogen","field","plot","plantspori","plantpopori","plantsprear","plantpoprear","type"
"546",967,0.5,26,3,76,0.0102,76,0.000134211,0.0102,43.6,"DW","12-Feb",30,"108","Control","3","3A","T. hybridum","Colorado","T. repens","Idaho","treat"
"547",969,0.27,13,1,584,0.0015,101,1.49e-05,0.008673267,22.4,"DW","12-Feb",30,"478","Nitrogen","2","2B","T. repens","Chile","T. hybridum","Russia","treat"
"548",971,0.55,46,4,182,0.058,103,0.000563107,0.102485437,45.4,"DW","14-Feb",32,"40","Nitrogen","3","3B","T. repens","Idaho","T. repens","Idaho","treat"
"549",973,0.58,10,1,186,0.0204,104,0.000196154,0.036484615,49.1,"DW","14-Feb",32,"499","Control","3","3A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"550",974,0.37,23,4,461,0.0102,104,9.81e-05,0.045213462,38,"DW","14-Feb",32,"16","Nitrogen","3","3B","T. hybridum","Greece","T. hybridum","Russia","treat"
"551",975,0.12,9,1,164,0.0273,105,0.00026,0.04264,25,"DW","14-Feb",32,"475","Nitrogen","4","4B","T. repens","Idaho","T. hybridum","Russia","treat"
"552",976,0.94,13,1,288,0.0098,104,9.42e-05,0.027138462,48.7,"DW","15-Feb",33,"861","Control","5","5A","T. repens","Chile","T. pratense","Pennsylvania","treat"
"553",978,0.74,42,4,134,0.0545,100,0.000545,0.07303,32.1,"DW","15-Feb",33,"773","Nitrogen","4","4B","T. pratense","Greece","T. repens","Chile","treat"
"554",980,0.49,8,1,124,0.0283,100,0.000283,0.035092,34.5,"MH","14-Feb",32,"56","Nitrogen","5","5B","T. repens","Idaho","T. pratense","Greece","treat"
"555",981,0.52,24,3,104,0.0302,104,0.000290385,0.0302,38.4,"DW","15-Feb",33,"74","Control","1","1A","T. hybridum","Russia","T. hybridum","Russia","treat"
"556",983,1.43,23,4,178,0.0251,100,0.000251,0.044678,48.3,"JL","15-Feb",33,"262","Nitrogen","2","2B","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"557",986,1.09,38,5,469,0.008,103,7.77e-05,0.036427184,29.9,"MH","15-Feb",33,"180","Control","5","5A","T. repens","Idaho","T. repens","Chile","treat"
"558",987,0.28,6,1,96,0.0104,76,0.000136842,0.013136842,30.3,"MH","15-Feb",33,"511","Nitrogen","3","3B","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"559",989,0.48,14,3,217,0.022,113,0.00019469,0.042247788,41.1,"MH","14-Feb",32,"180","Control","5","5A","T. repens","Idaho","T. pratense","Greece","treat"
"560",990,0.24,20,3,66,0.0394,66,0.00059697,0.0394,32.3,"MH","14-Feb",32,"3","Control","6","6A","T. repens","Idaho","T. repens","Chile","treat"
"561",991,0.72,45,3,131,0.015,100,0.00015,0.01965,44.1,"DW","15-Feb",33,"861","Control","5","5A","T. repens","Chile","T. repens","Idaho","treat"
"562",993,0.79,60,4,174,0.0279,108,0.000258333,0.04495,47.1,"DW","15-Feb",33,"475","Nitrogen","4","4B","T. repens","Idaho","T. repens","Idaho","treat"
"563",997,0.4,24,3,93,0.0236,93,0.000253763,0.0236,48,"JL","15-Feb",33,"381","Nitrogen","3","3B","T. repens","Chile","T. repens","Idaho","treat"
"564",998,0.37,14,2,267,0.0116,100,0.000116,0.030972,20.2,"JL","15-Feb",33,"308","Control","6","6A","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"565",1001,0.62,18,1,142,0.0331,100,0.000331,0.047002,46.4,"TS","14-Feb",32,"344","Control","6","6A","T. pratense","Greece","T. repens","Chile","treat"
"566",1002,0.03,5,1,121,0.0135,121,0.00011157,0.0135,NA,"MH","14-Feb",32,"438","Control","4","4A","T. hybridum","Russia","T. hybridum","Russia","treat"
"567",1003,0.5,24,2,151,0.0596,100,0.000596,0.089996,40.7,"TS","15-Feb",33,"706","Control","4","4A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"568",1004,0.78,25,4,67,0.0101,67,0.000150746,0.0101,48.7,"MH","15-Feb",33,"460","Control","3","3A","T. repens","Chile","T. repens","Idaho","treat"
"569",1005,0.49,24,4,200,0.0154,100,0.000154,0.0308,37.3,"MH","15-Feb",33,"726","Control","6","6A","T. hybridum","Russia","T. hybridum","Colorado","treat"
"570",1007,0.82,10,1,134,0.0414,100,0.000414,0.055476,43.6,"TS","14-Feb",32,"627","Control","6","6A","T. repens","Chile","T. pratense","Pennsylvania","treat"
"571",1008,0.56,21,2,32,0.0668,32,0.0020875,0.0668,47.7,"TS","15-Feb",33,"328","Nitrogen","2","2B","T. pratense","Greece","T. hybridum","Russia","treat"
"572",1010,0.77,51,4,269,0.044,100,0.00044,0.11836,37.6,"TS","14-Feb",32,"156","Nitrogen","2","2B","T. hybridum","Colorado","T. repens","Idaho","treat"
"573",1011,0.52,22,5,186,0.0105,119,8.82e-05,0.016411765,36.6,"MH","14-Feb",32,"762","Nitrogen","5","5B","T. pratense","Greece","T. repens","Idaho","treat"
"574",1012,1.15,18,2,451,0.0186,106,0.000175472,0.079137736,47.4,"DW","15-Feb",33,"108","Control","3","3A","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"575",1014,0.11,7,1,52,0.0286,52,0.00055,0.0286,28.2,"DW","15-Feb",33,"145","Control","3","3A","T. pratense","Greece","T. pratense","Greece","treat"
"576",1017,0.51,21,2,326,0.0037,102,3.63e-05,0.01182549,43.9,"DW","15-Feb",33,"475","Nitrogen","4","4B","T. repens","Idaho","T. hybridum","Colorado","treat"
"577",1019,0.81,51,5,212,0.0291,100,0.000291,0.061692,36.2,"DW","15-Feb",33,"596","Nitrogen","1","1B","T. repens","Idaho","T. repens","Idaho","treat"
"578",1020,0.97,35,6,129,0.027,100,0.00027,0.03483,48.1,"JL","15-Feb",33,"318","Control","2","2A","T. pratense","Pennsylvania","T. hybridum","Colorado","treat"
"579",1022,0.76,49,6,100,0.049,100,0.00049,0.049,38.7,"JL","15-Feb",33,"478","Nitrogen","2","2B","T. repens","Chile","T. repens","Chile","treat"
"580",1023,0.005,3,1,18,2e-04,18,1.11e-05,2e-04,NA,"DW","15-Feb",33,"262","Nitrogen","2","2B","T. repens","Idaho","T. hybridum","Colorado","treat"
"581",1024,0.48,19,1,82,0.0285,82,0.000347561,0.0285,40.9,"DW","15-Feb",33,"462","Control","5","5A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"582",1026,0.7,30,4,122,0.0226,100,0.000226,0.027572,45.9,"DW","16-Feb",34,"116","Nitrogen","1","1B","T. pratense","Greece","T. hybridum","Russia","treat"
"583",1028,1.16,88,7,162,0.0291,100,0.000291,0.047142,51.4,"JL","15-Feb",33,"415","Control","3","3A","T. repens","Idaho","T. repens","Idaho","treat"
"584",1030,0.09,5,1,19,0.0052,19,0.000273684,0.0052,16,"JL","15-Feb",33,"577","Nitrogen","3","3B","T. hybridum","Colorado","T. hybridum","Russia","treat"
"585",1031,0.76,23,4,81,0.0244,81,0.000301235,0.0244,37.3,"JL","15-Feb",33,"155","Control","4","4A","T. pratense","Greece","T. hybridum","Colorado","treat"
"586",1033,0.05,6,1,2,0.0043,2,0.00215,0.0043,31,"JL","15-Feb",33,"40","Nitrogen","3","3B","T. repens","Idaho","T. repens","Chile","treat"
"587",1037,0.78,17,3,267,0.0214,100,0.000214,0.057138,46.2,"TS","15-Feb",33,"627","Control","6","6A","T. repens","Chile","T. pratense","Greece","treat"
"588",1038,0.15,9,1,241,0.0176,101,0.000174257,0.04199604,14.2,"DW","16-Feb",34,"262","Nitrogen","2","2B","T. repens","Idaho","T. pratense","Greece","treat"
"589",1041,0.34,17,2,104,0.0987,104,0.000949038,0.0987,47.2,"DW","16-Feb",34,"145","Control","3","3A","T. pratense","Greece","T. pratense","Greece","treat"
"590",1042,0.7,27,5,108,0.0174,100,0.000174,0.018792,44.2,"JL","15-Feb",33,"460","Control","3","3A","T. repens","Chile","T. hybridum","Colorado","treat"
"591",1048,1,56,6,75,0.0295,75,0.000393333,0.0295,40.4,"JL","16-Feb",34,"328","Nitrogen","2","2B","T. pratense","Greece","T. repens","Idaho","treat"
"592",1049,0.79,32,6,140,0.0305,100,0.000305,0.0427,43.7,"JL","16-Feb",34,"328","Nitrogen","2","2B","T. pratense","Greece","T. hybridum","Colorado","treat"
"593",1050,0.79,11,3,145,0.0226,100,0.000226,0.03277,46.2,"JL","15-Feb",33,"462","Control","5","5A","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"594",1055,1.02,14,3,79,0.0905,79,0.00114557,0.0905,34.1,"JL","15-Feb",33,"559","Control","4","4A","T. pratense","Pennsylvania","T. pratense","Pennsylvania","treat"
"595",1056,1.17,59,7,230,0.0775,100,0.000775,0.17825,41.3,"TS","16-Feb",34,"461","Control","2","2A","T. hybridum","Colorado","T. repens","Idaho","treat"
"596",1057,1.12,39,4,90,0.0754,90,0.000837778,0.0754,36.3,"DW","16-Feb",34,"577","Nitrogen","3","3B","T. hybridum","Colorado","T. repens","Chile","treat"
"597",1058,1.39,15,1,228,0.0327,100,0.000327,0.074556,40.3,"DW","16-Feb",34,"475","Nitrogen","4","4B","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"598",1059,0.83,16,3,164,0.0394,105,0.000375238,0.061539048,45.9,"DW","17-Feb",35,"228","Control","1","1A","T. pratense","Greece","T. pratense","Greece","treat"
"599",1061,0.99,29,5,220,0.015,100,0.00015,0.033,48.3,"JL","16-Feb",34,"726","Control","6","6A","T. hybridum","Russia","T. hybridum","Colorado","treat"
"600",1065,1.21,61,6,191,0.025,100,0.00025,0.04775,46.3,"JL","16-Feb",34,"155","Control","4","4A","T. pratense","Greece","T. repens","Idaho","treat"
"601",1066,0.63,9,1,142,0.0264,142,0.000185915,0.0264,38.5,"KK","18-Feb",36,"173","Control","2","2A","T. repens","Chile","T. pratense","Pennsylvania","treat"
"602",1067,0.3,11,2,397,0.0077,100,7.7e-05,0.030569,33.5,"TS","17-Feb",35,"97","Nitrogen","1","1B","T. hybridum","Colorado","T. pratense","Greece","treat"
"603",1068,0.27,8,1,113,0.0762,103,0.000739806,0.083598058,22.6,"DW","17-Feb",35,"145","Control","3","3A","T. pratense","Greece","T. hybridum","Russia","treat"
"604",1071,0.68,45,7,68,0.0289,68,0.000425,0.0289,44.8,"MH","16-Feb",34,"796","Nitrogen","2","2B","T. hybridum","Russia","T. repens","Chile","treat"
"605",1072,0.1,6,1,NA,0.0036,39,9.23e-05,NA,6.1,"KK","18-Feb",36,"773","Nitrogen","4","4B","T. pratense","Greece","T. hybridum","Colorado","treat"
"606",1073,0.51,35,3,137,0.0361,100,0.000361,0.049457,39,"JL","16-Feb",34,"160","Control","5","5A","T. pratense","Pennsylvania","T. repens","Idaho","treat"
"607",1075,0.78,53,4,446,0.0593,100,0.000593,0.264478,40.6,"TS","17-Feb",35,"16","Nitrogen","3","3B","T. hybridum","Greece","T. repens","Chile","treat"
"608",1077,0.44,20,3,599,0.0069,101,6.83e-05,0.040921782,36.6,"DW","17-Feb",35,"475","Nitrogen","4","4B","T. repens","Idaho","T. pratense","Greece","treat"
"609",1079,0.49,19,3,182,0.0105,101,0.00010396,0.018920792,46.6,"MH","17-Feb",35,"231","Nitrogen","6","6B","T. repens","France","T. pratense","Greece","treat"
"610",1083,0.96,36,3,75,0.0144,75,0.000192,0.0144,47.3,"MH","16-Feb",34,"110","Control","4","4A","T. repens","Idaho","T. hybridum","Colorado","treat"
"611",1084,0.07,6,1,70,0.004,70,5.71e-05,0.004,9.7,"JL","16-Feb",34,"796","Nitrogen","2","2B","T. hybridum","Russia","T. hybridum","Russia","treat"
"612",1085,0.3,17,2,460,0.0095,100,9.5e-05,0.0437,39.9,"MH","16-Feb",34,"325","Control","4","4A","T. repens","Chile","T. hybridum","Russia","treat"
"613",1088,0.54,8,2,59,0.0175,59,0.00029661,0.0175,44.1,"JL","16-Feb",34,"308","Control","6","6A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"614",1092,0.37,18,1,151,0.0273,103,0.000265049,0.04002233,37.2,"DW","17-Feb",35,"538","Nitrogen","1","1B","T. hybridum","Russia","T. hybridum","Russia","treat"
"615",1095,0.77,17,3,69,0.0522,69,0.000756522,0.0522,50.4,"MH","17-Feb",35,"559","Control","4","4A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"616",1103,0.76,30,3,125,0.0358,100,0.000358,0.04475,45.8,"JL","16-Feb",34,"116","Nitrogen","1","1B","T. pratense","Greece","T. repens","Chile","treat"
"617",1108,0.98,40,1,140,0.0249,100,0.000249,0.03486,46.1,"TB","17-Feb",35,"461","Control","2","2A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"618",1109,0.54,19,1,354,0.0212,101,0.000209901,0.07430495,30.9,"TB","18-Feb",36,"16","Nitrogen","3","3B","T. hybridum","Greece","T. pratense","Greece","treat"
"619",1111,0.52,32,3,96,0.0024,96,2.5e-05,0.0024,32.4,"TB","18-Feb",36,"596","Nitrogen","1","1B","T. repens","Idaho","T. repens","Idaho","treat"
"620",1115,0.7,34,2,83,0.0185,83,0.000222892,0.0185,36.4,"TS","18-Feb",36,"231","Nitrogen","6","6B","T. repens","France","T. repens","Idaho","treat"
"621",1116,0.42,19,3,327,0.0931,100,0.000931,0.304437,41.1,"TS","17-Feb",35,"773","Nitrogen","4","4B","T. pratense","Greece","T. hybridum","Russia","treat"
"622",1118,1.36,12,1,125,0.0197,125,0.0001576,0.0197,47.8,"TB","17-Feb",35,"228","Control","1","1A","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"623",1125,0.21,15,1,577,8e-04,100,8e-06,0.004616,26.1,"DW","18-Feb",36,"415","Control","3","3A","T. repens","Idaho","T. hybridum","Russia","treat"
"624",1127,0.57,10,1,353,0.0402,353,0.000113881,0.0402,39.2,"DW","18-Feb",36,"758","Control","1","1A","T. repens","Idaho","T. pratense","Greece","treat"
"625",1131,0.61,24,3,62,0.0148,62,0.00023871,0.0148,49.3,"DW","18-Feb",36,"40","Nitrogen","3","3B","T. repens","Idaho","T. repens","Idaho","treat"
"626",1133,0.35,15,2,117,0.0257,117,0.000219658,0.0257,27.2,"DW","18-Feb",36,"493","Control","5","5A","T. pratense","Greece","T. hybridum","Colorado","treat"
"627",1134,0.15,4,1,715,0.0022,115,1.91e-05,0.013678261,9.8,"TB","17-Feb",35,"699","Nitrogen","5","5B","T. repens","Chile","T. pratense","Pennsylvania","treat"
"628",1136,0.58,10,1,241,0.0466,100,0.000466,0.112306,35.3,"TS","17-Feb",35,"415","Control","3","3A","T. repens","Idaho","T. pratense","Greece","treat"
"629",1143,0.96,52,5,126,0.0145,126,0.000115079,0.0145,44.9,"KK","18-Feb",36,"627","Control","6","6A","T. repens","Chile","T. repens","Idaho","treat"
"630",1148,0.7,8,1,234,0.0065,234,2.78e-05,0.0065,51,"KK","18-Feb",36,"511","Nitrogen","3","3B","T. pratense","Pennsylvania","T. pratense","Pennsylvania","treat"
"631",1150,0.65,27,3,378,0.0168,100,0.000168,0.063504,40.8,"DW","18-Feb",36,"113","Control","6","6A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"632",1155,0.49,9,1,177,0.0334,100,0.000334,0.059118,49.5,"DW","18-Feb",36,"415","Control","3","3A","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"633",1159,0.18,18,2,307,0.0307,100,0.000307,0.094249,25.7,"TS","17-Feb",35,"651","Nitrogen","6","6B","T. hybridum","Russia","T. hybridum","Russia","treat"
"634",1162,0.51,18,2,89,0.0071,89,7.98e-05,0.0071,43.9,"TB","17-Feb",35,"160","Control","5","5A","T. pratense","Pennsylvania","T. pratense","Greece","treat"
"635",1164,0.14,5,1,451,0.0034,101,3.37e-05,0.015182178,19.2,"TB","17-Feb",35,"498","Nitrogen","5","5B","T. hybridum","Colorado","T. pratense","Greece","treat"
"636",1165,0.39,17,1,343,0.0189,101,0.000187129,0.064185149,39,"DW","17-Feb",35,"308","Control","6","6A","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"637",1166,1.23,56,4,317,0.0208,101,0.000205941,0.065283168,54.8,"DW","17-Feb",35,"325","Control","4","4A","T. repens","Chile","T. repens","Idaho","treat"
"638",1167,0.41,14,1,456,0.029,115,0.000252174,0.114991304,47,"DW","17-Feb",35,"901","Control","2","2A","T. repens","Idaho","T. hybridum","Russia","treat"
"639",1168,0.48,20,1,1109,0.0096,116,8.28e-05,0.09177931,33.8,"DW","17-Feb",35,"180","Control","5","5A","T. repens","Idaho","T. hybridum","Russia","treat"
"640",1169,0.5,23,1,42,0.0467,42,0.001111905,0.0467,50.8,"DW","17-Feb",35,"499","Control","3","3A","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"641",1172,0.76,22,2,72,0.0181,72,0.000251389,0.0181,47.4,"JL","18-Feb",36,"706","Control","4","4A","T. hybridum","Colorado","T. hybridum","Colorado","treat"
"642",1174,0.6,18,3,231,0.0583,100,0.000583,0.134673,31.5,"JL","19-Feb",37,"40","Nitrogen","3","3B","T. repens","Idaho","T. pratense","Greece","treat"
"643",1176,0.66,13,2,77,0.0112,77,0.000145455,0.0112,41.1,"JL","19-Feb",37,"460","Control","3","3A","T. repens","Chile","T. pratense","Pennsylvania","treat"
"644",1183,0.19,14,2,270,0.0091,100,9.1e-05,0.02457,11.1,"JL","19-Feb",37,"796","Nitrogen","2","2B","T. hybridum","Russia","T. hybridum","Colorado","treat"
"645",1184,0.9,41,3,42,0.0211,42,0.000502381,0.0211,22.7,"JL","19-Feb",37,"559","Control","4","4A","T. pratense","Pennsylvania","T. repens","Chile","treat"
"646",1185,0.67,25,3,111,0.012,100,0.00012,0.01332,44.8,"TS","18-Feb",36,"462","Control","5","5A","T. hybridum","Colorado","T. hybridum","Colorado","treat"
"647",1186,0.66,30,4,66,0.0403,66,0.000610606,0.0403,50.3,"JL","18-Feb",36,"643","Nitrogen","2","2B","T. pratense","Greece","T. repens","Idaho","treat"
"648",1188,0.9,64,6,230,NA,NA,NA,NA,39.8,"JL","19-Feb",37,"108","Control","3","3A","T. hybridum","Colorado","T. repens","Idaho","treat"
"649",1191,0.43,21,4,102,0.0155,102,0.000151961,0.0155,40.4,"JL","19-Feb",37,"50","Control","1","1A","T. pratense","Pennsylvania","T. repens","Chile","treat"
"650",1193,0.22,17,3,185,0.034,100,0.00034,0.0629,12.7,"JL","19-Feb",37,"180","Control","5","5A","T. repens","Idaho","T. hybridum","Russia","treat"
"651",1195,0.45,7,1,112,0.0219,112,0.000195536,0.0219,46.3,"JL","19-Feb",37,"116","Nitrogen","1","1B","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"652",1196,0.71,28,4,71,0.0219,71,0.000308451,0.0219,46.6,"DW","19-Feb",37,"726","Control","6","6A","T. hybridum","Russia","T. hybridum","Russia","treat"
"653",1197,0.74,71,5,234,0.0524,100,0.000524,0.122616,39.6,"TS","18-Feb",36,"559","Control","4","4A","T. pratense","Pennsylvania","T. repens","Idaho","treat"
"654",1198,0.06,4,1,275,0.0099,100,9.9e-05,0.027225,23.7,"DW","18-Feb",36,"699","Nitrogen","5","5B","T. repens","Chile","T. pratense","Pennsylvania","treat"
"655",1200,0.4,10,1,310,0.019,100,0.00019,0.0589,36.7,"JL","19-Feb",37,"180","Control","5","5A","T. repens","Idaho","T. hybridum","Colorado","treat"
"656",1201,0.75,13,3,95,0.011,95,0.000115789,0.011,45.4,"JL","19-Feb",37,"636","Control","1","1A","T. repens","Chile","T. hybridum","Colorado","treat"
"657",1203,0.35,9,1,1371,0.0132,100,0.000132,0.180972,29,"DW","19-Feb",37,"796","Nitrogen","2","2B","T. hybridum","Russia","T. hybridum","Colorado","treat"
"658",1206,0.66,13,1,194,0.0194,102,0.000190196,0.036898039,52.8,"DW","19-Feb",37,"493","Control","5","5A","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"659",1209,1.08,20,2,449,0.0097,110,8.82e-05,0.039593636,47.9,"DW","19-Feb",37,"113","Control","6","6A","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"660",1210,0.7,19,3,113,0.0345,100,0.000345,0.038985,45.4,"TS","18-Feb",36,"538","Nitrogen","1","1B","T. hybridum","Russia","T. pratense","Greece","treat"
"661",1216,0.72,40,3,739,0.0035,100,3.5e-05,0.025865,33.2,"DW","18-Feb",36,"308","Control","6","6A","T. pratense","Pennsylvania","T. hybridum","Colorado","treat"
"662",1217,0.21,11,2,222,0.0086,100,8.6e-05,0.019092,35.1,NA,"18-Feb",36,"231","Nitrogen","6","6B","T. repens","France","T. hybridum","Russia","treat"
"663",1220,0.41,21,3,175,0.0045,100,4.5e-05,0.007875,34.9,"MH","19-Feb",37,"160","Control","5","5A","T. pratense","Pennsylvania","T. repens","Chile","treat"
"664",1221,0.55,23,3,143,0.0068,102,6.67e-05,0.009533333,45.1,"DW","18-Feb",36,"527","Nitrogen","3","3B","T. pratense","Greece","T. hybridum","Colorado","treat"
"665",1224,1.17,38,3,137,0.0163,101,0.000161386,0.022109901,46.2,"DW","19-Feb",37,"344","Control","6","6A","T. pratense","Greece","T. repens","Idaho","treat"
"666",1225,0.04,13,1,240,0.0024,100,2.4e-05,0.00576,14.9,"DW","19-Feb",37,"498","Nitrogen","5","5B","T. hybridum","Colorado","T. hybridum","Russia","treat"
"667",1227,0.18,11,2,38,0.0019,38,5e-05,0.0019,NA,"RP","19-Feb",37,"475","Nitrogen","4","4B","T. repens","Idaho","T. hybridum","Colorado","treat"
"668",1232,0.99,44,4,330,0.0054,100,5.4e-05,0.01782,44.5,"DW","19-Feb",37,"100","Control","5","5A","T. hybridum","Russia","T. hybridum","Colorado","treat"
"669",1236,0.74,39,3,54,0.0247,54,0.000457407,0.0247,49,NA,"19-Feb",37,"328","Nitrogen","2","2B","T. pratense","Greece","T. hybridum","Russia","treat"
"670",1242,0.07,10,1,51,0.0061,51,0.000119608,0.0061,30.9,"JL","19-Feb",37,"100","Control","5","5A","T. hybridum","Russia","T. hybridum","Colorado","treat"
"671",1244,0.09,7,1,358,0.0025,100,2.5e-05,0.00895,24.1,"KK","19-Feb",37,"97","Nitrogen","1","1B","T. hybridum","Colorado","T. hybridum","Russia","treat"
"672",1249,0.69,37,3,9,6e-04,9,6.67e-05,6e-04,40.1,NA,"19-Feb",37,"651","Nitrogen","6","6B","T. hybridum","Russia","T. repens","Idaho","treat"
"673",1251,0.76,24,1,88,0.0215,88,0.000244318,0.0215,53.3,NA,"19-Feb",37,"155","Control","4","4A","T. pratense","Greece","T. hybridum","Russia","treat"
"674",1253,0.9,9,1,32,0.0038,32,0.00011875,0.0038,49.2,"JL","19-Feb",37,"859","Nitrogen","4","4B","T. repens","Chile","T. pratense","Pennsylvania","treat"
"675",1258,0.82,36,1,153,0.018,100,0.00018,0.02754,43.8,NA,"19-Feb",37,"113","Control","6","6A","T. hybridum","Colorado","T. repens","Chile","treat"
"676",1259,0.97,16,4,379,0.0125,209,5.98e-05,0.022667464,52.5,"RP","19-Feb",37,"344","Control","6","6A","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"677",1262,0.81,30,3,124,0.0206,100,0.000206,0.025544,43.5,"MH","19-Feb",37,"577","Nitrogen","3","3B","T. hybridum","Colorado","T. repens","Idaho","treat"
"678",1273,0.24,18,2,410,0.0147,100,0.000147,0.06027,23.4,"JL","19-Feb",37,"699","Nitrogen","5","5B","T. repens","Chile","T. repens","Idaho","treat"
"679",1276,0.14,7,1,256,0.0091,100,9.1e-05,0.023296,30,"KK","19-Feb",37,"415","Control","3","3A","T. repens","Idaho","T. pratense","Greece","treat"
"680",1278,0.35,15,1,771,0.0168,100,0.000168,0.129528,41.2,"KK","19-Feb",37,"511","Nitrogen","3","3B","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"681",1281,0.61,26,4,729,0.0053,100,5.3e-05,0.038637,31.7,NA,"19-Feb",37,"796","Nitrogen","2","2B","T. hybridum","Russia","T. hybridum","Colorado","treat"
"682",1284,0.18,9,1,167,0.0152,100,0.000152,0.025384,27.8,NA,"19-Feb",37,"762","Nitrogen","5","5B","T. pratense","Greece","T. pratense","Greece","treat"
"683",1285,0.32,3,15,86,0.0192,86,0.000223256,0.0192,42.6,NA,"19-Feb",37,"861","Control","5","5A","T. repens","Chile","T. repens","Idaho","treat"
"684",1286,0.76,27,4,4,2e-04,4,5e-05,2e-04,44.6,"JL","19-Feb",37,"462","Control","5","5A","T. hybridum","Colorado","T. hybridum","Colorado","treat"
